fold,method,test_samples,scored,accuracy,macro_f1,abstention
1,rules,40,40,0.425,0.5555555555555555,0.5
1,tfidf,40,40,0.0,0.0,1.0
1,llm,40,26,0.8461538461538461,0.7427350427350428,0.038461538461538464
2,rules,38,38,0.10526315789473684,0.18095238095238098,0.868421052631579
2,tfidf,38,38,0.0,0.0,1.0
2,llm,38,14,0.7142857142857143,0.8333333333333334,0.2857142857142857
3,rules,39,39,0.358974358974359,0.410615528262587,0.38461538461538464
3,tfidf,39,39,0.05128205128205128,0.09523809523809525,0.9487179487179487
3,llm,39,20,0.55,0.5071428571428571,0.05
4,rules,40,40,0.525,0.5105042016806722,0.375
4,tfidf,40,40,0.1,0.13333333333333333,0.9
5,rules,37,37,0.1891891891891892,0.31666666666666665,0.4864864864864865
5,tfidf,37,37,0.0,0.0,1.0
5,llm,37,2,1.0,1.0,0.0
