fold,method,test_samples,scored,accuracy,macro_f1,abstention
1,rules,40,40,0.425,0.5555555555555555,0.475
1,tfidf,40,40,0.0,0.0,0.975
1,llm,40,26,0.9615384615384616,0.9111111111111111,0.0
2,rules,38,38,0.10526315789473684,0.18095238095238098,0.868421052631579
2,tfidf,38,38,0.0,0.0,1.0
2,llm,38,14,0.6428571428571429,0.5,0.21428571428571427
3,rules,39,39,0.358974358974359,0.410615528262587,0.38461538461538464
3,tfidf,39,39,0.07692307692307693,0.1785714285714286,0.9230769230769231
3,llm,39,20,0.6,0.5682539682539682,0.0
4,rules,40,40,0.4,0.39285714285714285,0.45
4,tfidf,40,40,0.075,0.0909090909090909,0.875
5,rules,37,37,0.1891891891891892,0.2976190476190476,0.4864864864864865
5,tfidf,37,37,0.0,0.0,1.0
5,llm,37,2,0.0,0.0,0.5
