fold,method,test_samples,scored,accuracy,macro_f1,abstention
1,rules,40,40,0.5,0.6746031746031745,0.425
1,tfidf,40,40,0.45,0.40578817733990147,0.0
1,llm,40,33,0.9090909090909091,0.9313561681982735,0.0
1,hybrid,40,33,0.9090909090909091,0.9313561681982735,0.0
2,rules,38,38,0.13157894736842105,0.2065934065934066,0.868421052631579
2,tfidf,38,38,0.4473684210526316,0.3610240334378266,0.21052631578947367
2,llm,38,24,0.625,0.5735294117647058,0.25
2,hybrid,38,24,0.625,0.5570175438596491,0.16666666666666666
3,rules,39,39,0.5641025641025641,0.5109890109890111,0.358974358974359
3,tfidf,39,39,0.4358974358974359,0.41767676767676765,0.07692307692307693
3,llm,39,24,0.5,0.511904761904762,0.041666666666666664
3,hybrid,39,24,0.5416666666666666,0.5476190476190477,0.0
4,rules,40,40,0.55,0.5191622103386809,0.375
4,tfidf,40,40,0.475,0.2381313131313131,0.0
4,llm,40,8,0.375,0.5222222222222223,0.125
4,hybrid,40,8,0.5,0.611111111111111,0.0
5,rules,37,37,0.2972972972972973,0.3502415458937198,0.40540540540540543
5,tfidf,37,37,0.6216216216216216,0.3455725840783312,0.02702702702702703
5,llm,37,15,0.4666666666666667,0.5075757575757576,0.06666666666666667
5,hybrid,37,15,0.4666666666666667,0.5075757575757576,0.0
