sample_id,source,draft,blind,current,blind_note
dotnet__aspire__34787419768,github-actions,other,dependency,other,
grafana__grafana__33189617225,github-actions,authentication,other,authentication,
grafana__grafana__33230254850,github-actions,test_assertion,compilation,test_assertion,
grafana__grafana__33230254939,github-actions,test_assertion,other,test_assertion,
logchunks__FreeCodeCamp__freecodecamp__566340191,logchunks,test_assertion,compilation,test_assertion,
logchunks__ReactiveCocoa__ReactiveCocoa__522129648,logchunks,test_assertion,compilation,test_assertion,
logchunks__ReactiveX__RxJava__561008032,logchunks,test_assertion,compilation,test_assertion,
logchunks__SwiftyJSON__SwiftyJSON__512286699,logchunks,compilation,dependency,compilation,
logchunks__bcit-ci__CodeIgniter__496514022,logchunks,test_assertion,other,test_assertion,
logchunks__bitcoin__bitcoin__567200607,logchunks,other,compilation,other,
logchunks__google__material-design-icons__96448414,logchunks,other,compilation,other,
logchunks__jashkenas__coffeescript__461415014,logchunks,test_assertion,compilation,test_assertion,
logchunks__jgm__pandoc__480326509,logchunks,test_assertion,other,test_assertion,
logchunks__jgm__pandoc__483247329,logchunks,compilation,dependency,compilation,
logchunks__jwilm__alacritty__563821312,logchunks,compilation,dependency,compilation,
logchunks__jwilm__alacritty__564527447,logchunks,dependency,compilation,dependency,
logchunks__jwilm__alacritty__579346432,logchunks,test_assertion,compilation,test_assertion,
logchunks__mhinz__vim-galore__430784580,logchunks,other,compilation,other,
logchunks__postcss__autoprefixer__460085832,logchunks,test_assertion,compilation,test_assertion,
logchunks__postcss__autoprefixer__468714887,logchunks,other,dependency,other,
logchunks__postcss__autoprefixer__474577649,logchunks,test_assertion,compilation,test_assertion,
logchunks__postcss__autoprefixer__502902139,logchunks,dependency,compilation,dependency,
logchunks__postcss__autoprefixer__547185725,logchunks,other,infrastructure,other,
logchunks__powershell__PowerShell__535987243,logchunks,dependency,compilation,dependency,
logchunks__powershell__PowerShell__536509309,logchunks,test_assertion,compilation,test_assertion,
logchunks__processone__ejabberd__556990927,logchunks,test_assertion,infrastructure,test_assertion,
logchunks__scala__scala__566675131,logchunks,test_assertion,compilation,test_assertion,
logchunks__scala__scala__566866822,logchunks,other,test_assertion,other,
logchunks__sjdy521__Mojo-Webqq__341246416,logchunks,infrastructure,other,infrastructure,
logchunks__soulmachine__leetcode__172062089,logchunks,other,compilation,other,
logchunks__square__retrofit__456148330,logchunks,other,dependency,other,
logchunks__square__retrofit__553410971,logchunks,test_assertion,compilation,test_assertion,
logchunks__technomancy__leiningen__243016828,logchunks,other,compilation,other,
logchunks__vim__vim__557413766,logchunks,test_assertion,infrastructure,test_assertion,
microsoft__TypeScript__34290086503,github-actions,other,authentication,other,
microsoft__vscode__31854040716,github-actions,test_assertion,other,test_assertion,
microsoft__vscode__31959446031,github-actions,compilation,other,compilation,
microsoft__vscode__31971380461,github-actions,test_assertion,other,test_assertion,
microsoft__vscode__34697884669,github-actions,test_assertion,other,test_assertion,
python__cpython__34098372849,github-actions,other,compilation,other,
python__cpython__34788896959,github-actions,test_assertion,other,test_assertion,
