sample_id,source,bucket,draft,majority,nex-agi,cohere,dots-studio,current,adjudicated
logchunks__SwiftyJSON__SwiftyJSON__431826490,logchunks,confirmed,compilation,compilation,compilation,compilation,compilation,compilation,False
logchunks__BurntSushi__ripgrep__524440676,logchunks,confirmed,compilation,compilation,compilation,compilation,compilation,compilation,False
logchunks__mhinz__vim-galore__374779422,logchunks,confirmed,other,other,other,other,other,other,False
grafana__grafana__33230254822,github-actions,confirmed,test_assertion,test_assertion,test_assertion,test_assertion,test_assertion,test_assertion,False
logchunks__technomancy__leiningen__243016828,logchunks,confirmed,other,other,other,other,other,other,False
python__cpython__34776122960,github-actions,confirmed,other,other,other,other,other,other,False
microsoft__vscode__31827769794,github-actions,confirmed,test_assertion,test_assertion,test_assertion,test_assertion,test_assertion,test_assertion,False
logchunks__processone__ejabberd__555702367,logchunks,split,authentication,,unknown,dependency,authentication,authentication,False
python__cpython__34783075674,github-actions,confirmed,other,other,other,other,other,other,False
dotnet__aspire__34786559072,github-actions,confirmed,other,other,other,other,other,other,False
logchunks__scala__scala__566675131,logchunks,confirmed,test_assertion,test_assertion,compilation,test_assertion,test_assertion,test_assertion,False
logchunks__postcss__autoprefixer__547185725,logchunks,confirmed,other,other,other,other,other,other,False
logchunks__jashkenas__coffeescript__393178870,logchunks,confirmed,other,other,other,other,other,other,False
python__cpython__34089004553,github-actions,confirmed,other,other,other,other,other,other,False
logchunks__postcss__autoprefixer__474577649,logchunks,confirmed,test_assertion,test_assertion,test_assertion,test_assertion,test_assertion,test_assertion,False
logchunks__technomancy__leiningen__239339113,logchunks,confirmed,dependency,dependency,dependency,dependency,dependency,dependency,False
logchunks__Microsoft__TypeScript__566574811,logchunks,confirmed,test_assertion,test_assertion,test_assertion,test_assertion,test_assertion,test_assertion,False
logchunks__scala__scala__567060744,logchunks,confirmed,test_assertion,test_assertion,test_assertion,test_assertion,test_assertion,test_assertion,False
logchunks__bcit-ci__CodeIgniter__507199842,logchunks,confirmed,test_assertion,test_assertion,test_assertion,test_assertion,test_assertion,test_assertion,False
