sample_id,source,bucket
logchunks__processone__ejabberd__555702367,logchunks,split
logchunks__postcss__autoprefixer__502902139,logchunks,contested
python__cpython__34788896959,github-actions,contested
logchunks__jwilm__alacritty__564527447,logchunks,contested
logchunks__scala__scala__566866822,logchunks,contested
logchunks__vim__vim__557005417,logchunks,split
python__cpython__33789566126,github-actions,contested
logchunks__scala__scala__566726054,logchunks,contested
microsoft__vscode__31821965820,github-actions,contested
logchunks__jashkenas__coffeescript__420204574,logchunks,split
logchunks__jashkenas__coffeescript__530674905,logchunks,contested
logchunks__FreeCodeCamp__freecodecamp__566116668,logchunks,contested
logchunks__scala__scala__566805126,logchunks,contested
logchunks__jlord__git-it-electron__189032546,logchunks,contested
logchunks__BurntSushi__ripgrep__524197508,logchunks,contested
logchunks__jwilm__alacritty__565672174,logchunks,contested
microsoft__vscode__31801400244,github-actions,contested
microsoft__vscode__31790622084,github-actions,split
logchunks__FreeCodeCamp__freecodecamp__566207163,logchunks,contested
python__cpython__34748925258,github-actions,split
logchunks__processone__ejabberd__554568247,logchunks,split
logchunks__dkhamsing__open-source-ios-apps__562475335,logchunks,contested
python__cpython__34758328948,github-actions,split
python__cpython__34746973250,github-actions,split
python__cpython__34746973474,github-actions,split
logchunks__BurntSushi__ripgrep__524438701,logchunks,split
logchunks__scala__scala__567184269,logchunks,contested
logchunks__jwilm__alacritty__564632044,logchunks,split
logchunks__vim__vim__556831164,logchunks,split
logchunks__BurntSushi__ripgrep__524343295,logchunks,contested
python__cpython__34748927069,github-actions,split
python__cpython__34752783005,github-actions,contested
logchunks__jwilm__alacritty__564267025,logchunks,contested
logchunks__SwiftyJSON__SwiftyJSON__364918572,logchunks,contested
logchunks__dkhamsing__open-source-ios-apps__561971122,logchunks,split
logchunks__jlord__git-it-electron__376184199,logchunks,contested
logchunks__ReactiveX__RxJava__565378954,logchunks,contested
