fold,method,test_samples,scored,accuracy,macro_f1,abstention
1,rules,192,192,0.3645833333333333,0.3972295329332913,0.5364583333333334
1,tfidf,192,192,0.5520833333333334,0.3362603269079299,0.0
1,llm,192,51,0.8235294117647058,0.7332233959893535,0.0196078431372549
1,hybrid,192,51,0.8431372549019608,0.7408207369200278,0.0
2,rules,185,185,0.4486486486486487,0.5464334927356705,0.4648648648648649
2,tfidf,185,185,0.6918918918918919,0.47507860690539133,0.0
2,llm,185,76,0.5394736842105263,0.6340367965367966,0.19736842105263158
2,hybrid,185,76,0.6052631578947368,0.6313682092555332,0.0
3,rules,186,186,0.4731182795698925,0.5652917684167685,0.3978494623655914
3,tfidf,186,186,0.6129032258064516,0.4407758716989962,0.0
3,llm,186,36,0.75,0.6686813186813186,0.0
3,hybrid,186,36,0.75,0.6686813186813186,0.0
4,rules,191,191,0.3193717277486911,0.4652088519222582,0.5602094240837696
4,tfidf,191,191,0.6544502617801047,0.3603396654965931,0.0
4,llm,191,110,0.7545454545454545,0.7650429754649163,0.01818181818181818
4,hybrid,191,110,0.7636363636363637,0.7673506677726087,0.0
5,rules,190,190,0.48947368421052634,0.6261865501520418,0.45789473684210524
5,tfidf,190,190,0.6421052631578947,0.5285987079901445,0.0
5,llm,190,60,0.6666666666666666,0.6511249137336095,0.15
5,hybrid,190,60,0.7333333333333333,0.6207565399690094,0.0
